object_id,drink_id,language,priority,drink_name,alcoholic,cocktail_or_not,category,base,place,company,cocktailType,glass,taste,color,alcohol_percentage,method_category,method_detail,description,image,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,source,reference_url,date_modified
111,111,ja,TRUE,キッスインザダーク,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,赤,普通,シェーク,シェークして、カクテル・グラスに注ぐ。,ジンとベルモットの定番の組み合わせにチェリーリキュールを加えると、ほんのりと甘いロマンティックなカクテルに変身。3つのお酒が絶妙にマッチした大人のカクテル。デートの最後はこれできめたい。,https://www.suntory.co.jp/wnb/img/cocktail/p_kiss_in_the_dark.gif,ヒーリングチェリー,ジン,ドライベルモット,,,,,,,,1/3,1/3,1/3,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/kiss_in_the_dark/index.html,2018/10/11 15:06
121,121,ja,TRUE,ギブソン,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,辛口,透明,強い（25度以上）,ステア,ステアして、カクテル・グラスに注ぐ。カクテルピンにさしたパールオニオンをグラスに沈める。,グラスの底に、真珠のように美しい光沢をみせるパール・オニオンが沈む優雅なカクテル。19世紀末、人気イラストレーターのチャールズ・ダナ・ギブソンが、NYのプレイヤーズ・クラブで愛飲したことからこの名がついたといわれている。当時のレシピは、プリマス・ジン1/2、ドライ・ベルモット1/2をステアし、パールオニオンを飾るというものであった。デコレーション以外は「マティーニ」と同じレシピだが、やや辛口に仕上げる傾向にある。,https://www.suntory.co.jp/wnb/img/cocktail/p_gibson.gif,ジン,ドライベルモット,パールオニオン,,,,,,,,5/6,1/6,1個,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gibson/index.html,2018/10/11 15:06
131,131,ja,TRUE,シルバーストリーク,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,ブラウン(琥珀色）,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,アメリカのホームユーザーに人気のあるイエーガーマイスターを使ったカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_silver_streak.gif,ジン,イエーガーマイスター,,,,,,,,,2/3,1/3,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/silver_streak/index.html,2018/10/11 15:06
141,141,ja,TRUE,ジャングル,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,透明,強い（25度以上）,ステア,ステアして、カクテル・グラスに注ぐ。,,https://www.suntory.co.jp/wnb/img/cocktail/p_jungle.gif,ジン,ドライベルモット,ハーベイシェリー　ブリストルクリーム,,,,,,,,1/3,1/3,1/3,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/jungle/index.html,2018/10/11 15:06
151,151,ja,TRUE,ジンバック,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,透明,普通,ビルド,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,別名「ロンドン・バック」ともいう。“バック”とは、スピリッツにレモン ジュースとジンジャー・エールを加えて作るスタイルのことで、“Buck”には“Stag”（雄鹿）の意味があり、“キックのある飲み物”ということから名づけられたと思われる。甘味と酸味のバランスが良い、夏向きのカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_gin_buck.gif,ジン,フレッシュレモンジュース,ジンジャーエール,,,,,,,,45ml,20ml,適量,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gin_buck/index.html,2018/10/11 15:06
161,161,ja,TRUE,ジンフィズ,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,透明,普通,シェーク,ソーダ以外の材料をシェークし、タンブラーに注ぐ。氷を加え、ソーダで満たし、軽くステアする。,ジンにソーダを加えた爽やかなカクテル。1888年、アメリカ南部ニューオリンズの人気サロン「インペリアル・キャビネット・サロン」のオーナー、ヘンリー・ラモス氏がレモン・スカッシュにジンを入れたのが始まりだといわれている。“フィズ”はジンなどのスピリッツにレモンジュース、砂糖を加えてシェークし、タンブラーに注いでソーダを加えるのが基本的な処方。“フィズ”という名前は、ソーダの炭酸ガスがはじける“シュッ！”という音からつけられたといわれている。,https://www.suntory.co.jp/wnb/img/cocktail/p_gin_fizz.gif,ジン,フレッシュレモンジュース,砂糖,ソーダ,,,,,,,45ml,20ml,2tsp,適量,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gin_fizz/index.html,2018/10/11 15:06
171,171,ja,TRUE,ジンリッキー,Alcohol,TRUE,カクテル,ジン,,,ロング,タンブラー,中甘辛口,透明,普通,ビルド,グラスの上でライムを絞り、グラスの中に落とす。氷とビーフィーター　ジンを入れ、ソーダで満たす。マドラーを添える。,「トニックはちょっと甘くて…」という方にお勧めのカクテル。生のライムを絞ることで、さっぱりとした風味が生み出されている。“リッキー”とは、スピリッツにライムの果肉とソーダを加えてつくるカクテルのスタイルのことで、飲み手が、マドラーで好みの味加減にライムをつぶして楽しむ。19世紀末に、アメリカのワシントンD.C.の“シューメーカー”というレストランで夏向きのドリンクとして考案され、最初に飲んだ客のジム・リッキー氏にちなんで命名された。,https://www.suntory.co.jp/wnb/img/cocktail/p_gin_rickey.gif,ジン,ライム,ソーダ,,,,,,,,45ml,1/2個,適量,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/gin_rickey/index.html,2018/10/11 15:06
181,181,ja,TRUE,スプリングオペラ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,ピンク,強い（25度以上）,シェーク,オレンジジュース以外の材料をシェークして、カクテル・グラスに注ぐ。オレンジジュースを沈め、カクテル・ピンにさしたグリーン・チェリーを飾る。,"1999 Suntory Cocktail Competiton 1999カクテル・オブ・ザ・イヤー
三谷裕氏の作品",https://www.suntory.co.jp/wnb/img/cocktail/p_spring_opera.gif,ジン,ジャポネ桜,ピーチリキュール,サントリーカクテルレモン,オレンジジュース,,,,,,40ml,10ml,10ml,1tsp,2tsp,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/spring_opera/index.html,2018/10/11 15:06
191,191,ja,TRUE,タンゴ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,オレンジ,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,ロンドン、シローズ・クラブ出身のバーテンダー、ハリー・マッケルホーンが、パリで有名人が集うハリーズ・ニューヨーク・バーをオープンしたあとに発表したもの。タンゴという名のとおり、情熱的で甘美なカクテル。ドライジンと、ドライとスイートのベルモット、この3つが絶妙なハーモニーを奏で、それをオレンジの甘い風味が包み込む。カップルで楽しんでほしいカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_tango.gif,ジン,ドライベルモット,スイートベルモット,オレンジキュラソー,オレンジジュース,,,,,,2/5,1/5,1/5,1/5,2ダッシュ,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/tango/index.html,2018/10/11 15:06
201,201,ja,TRUE,チョコレートギムレット,Alcohol,TRUE,カクテル,ジン,,,ショート,ロックグラス,中甘辛口,ブラウン(琥珀色）,強い（25度以上）,シェーク,シェークして、氷を入れたロック・グラスに注ぎ、軽くかき混ぜる。ライムを軽く搾り加える。,,https://www.suntory.co.jp/wnb/img/cocktail/p_chocolate_gimlet.gif,ジン,モーツァルト　ブラック,サントリーカクテルライム,,,,,,,,40ml,15ml,15ml,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chocolate_gimlet/index.html,2018/10/11 15:06
211,211,ja,TRUE,チョコレートスリング,Alcohol,TRUE,カクテル,ジン,,,ロング,コリンズグラス,中甘辛口,ブラウン(琥珀色）,普通,ビルド,モーツァルト、ヒーリングとレモンスライス以外の材料をグラスに注ぎ混ぜる。レモンスライスを浮かべ上から静かに、モーツァルトとヒーリングを注ぐ。,,https://www.suntory.co.jp/wnb/img/cocktail/p_chocolate_sling.gif,ジン,モーツァルト　ブラック,ヒーリングチェリー,フレッシュレモンジュース,ガムシロップ,ソーダ,レモンスライス,,,,40ml,10ml,5ml,20ml,10ml,適量,1枚,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chocolate_sling/index.html,2018/10/11 15:06
221,221,ja,TRUE,２４トニック,Alcohol,TRUE,カクテル,ジン,,,ロング,コリンズグラス,辛口,透明,普通,ビルド,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,ジンをベースにしたカクテルの中で、最もポピュラーなのがこのジントニック。プレミアムジン「ビーフィーター２４」を使用したこの２４トニックは、柔らかい飲み口。,https://www.suntory.co.jp/wnb/img/cocktail/p_24_tonic.gif,ビーフィーター24,トニックウォーター,,,,,,,,,30ml,90ml,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/24_tonic/index.html,2018/10/11 15:06
231,231,ja,TRUE,２４マティーニ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,辛口,透明,強い（25度以上）,ステア,ステアして、カクテル・グラスに注ぐ。レモンピールを飾る。,,https://www.suntory.co.jp/wnb/img/cocktail/p_24_martini.gif,ビーフィーター24,ドライベルモット,,,,,,,,,50ｍｌ,10ｍｌ,,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/24_martini/index.html,2018/10/11 15:06
241,241,ja,TRUE,トムコリンズ,Alcohol,TRUE,カクテル,ジン,,,ロング,コリンズグラス,中甘辛口,透明,普通,シェーク,ソーダ以外の材料をシェークし、氷を入れたコリンズ・グラスに注ぐ。ソーダで満たし、軽くステアする。レモン、レッド・チェリーを飾る。,19世紀半ば、ロンドンのハノーバー街、コンデュイット通りにあった”リマーズ・コーナー”という店のボーイ長、ジョン・コリンズが創作したカクテル。はじめは自分の名前をとって「ジョン・コリンズ」としていたが、ベースをジュネバ・ジンからオールド・トム・ジンにかえ、「トム・コリンズ」と命名した。アメリカで生まれた「ジン・フィズ」は、材料も作り方もほぼ同じ、分量だけが違う兄弟のようなカクテルである。,https://www.suntory.co.jp/wnb/img/cocktail/p_tom_collins.gif,ジン,フレッシュレモンジュース,砂糖,ソーダ,,,,,,,60ml,20ml,2tsp,適量,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/tom_collins/index.html,2018/10/11 15:06
251,251,ja,TRUE,パラダイス,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,オレンジ,普通,シェーク,シェークして、カクテル・グラスに注ぐ。,“パラダイス（楽園）”と呼ばれるにふさわしい、やや甘口のカクテル。アプリコットとオレンジジュースの相性がよく、香りも味も新しいフルーツのように新鮮。辛口が好きな人はドライジンをやや多めにして、アプリコットリキュールの量を抑えてもよい。,https://www.suntory.co.jp/wnb/img/cocktail/p_paradise.gif,ジン,ルジェ　クレーム　ド　アプリコット,オレンジジュース,,,,,,,,1/2,1/4,1/4,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/paradise/index.html,2018/10/11 15:06
261,261,ja,TRUE,パリジャン,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,甘口,赤,普通,ステア,ステアして、カクテル・グラスに注ぐ。,ジンにドライベルモットとクレームドカシスの甘い風味を加えた、やや甘口の食前向きのカクテル。カクテルの帝王「マティーニ」のバリエーションともいえる。おしゃれなパリジャンを想わせる、甘酸っぱい味わい。,https://www.suntory.co.jp/wnb/img/cocktail/p_parisian.gif,ジン,ドライベルモット,ルジェ　クレーム　ド　カシス,,,,,,,,1/2,1/3,1/6,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/parisian/index.html,2018/10/11 15:06
271,271,ja,TRUE,ピンクレディ,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,ピンク,普通,シェーク,十分にシェークし、カクテル・グラスに注ぐ。,1912年にロンドンで生まれたカクテル。この年に、ロンドンで大ヒットした舞台『ピンク・レディ』を記念してつくられた。千秋楽の打ち上げパーティーで、主演女優のヘイルズ・ドーンに捧げられたという。名前の通りピンク色の美しいカクテルで、グレナデンシロップの甘い風味が、ジンの個性的な風味をやさしく包んでいる。グレナデンシロップをブルーキュラソーにかえると「ブルー・レディ」、卵白を除きホワイトキュラソーを加えると「ホワイト・レディ」になる。,https://www.suntory.co.jp/wnb/img/cocktail/p_pink_lady.gif,ジン,グレナデンシロップ,卵白,,,,,,,,45ml,20ml,1個分,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/pink_lady/index.html,2018/10/11 15:06
281,281,ja,TRUE,フレンチ７５,Alcohol,TRUE,カクテル,ジン,,,ロング,コリンズグラス,中甘辛口,白,普通,シェーク,シャンパン以外の材料をシェークして、コリンズ・グラスに注ぐ。氷を加え、冷やしたシャンパンで満たし、軽くステアする。,第一次大戦の時、パリのアンリ・バーで生まれた。名前はいかにもお洒落っぽいが、実は口径が75mmの大砲のことである。ドライジンをバーボンウイスキーに替えると、FRENCH 95、ブランデーにすると、FRENCH 125となる。,https://www.suntory.co.jp/wnb/img/cocktail/p_french_75.gif,ジン,フレッシュレモンジュース,砂糖,シャンパン,,,,,,,45ml,20ml,1tsp,適量,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/french_75/index.html,2018/10/11 15:06
291,291,ja,TRUE,ブルームーン,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,紫,普通,シェーク,シェークして、カクテル・グラスに注ぐ。,作者も生まれ年も不明だが、1929年（昭和4年）出版のカクテルブックにもレシピが載っているところをみると、それより以前に誕生した歴史あるカクテル。「ブルームーン」といえば、ロジャース＆ハートのゴールデンコンビの名曲としても有名。仕上げにレモンピールを月形に切って浮かべると、さらに夢のあるカクテルに。,https://www.suntory.co.jp/wnb/img/cocktail/p_blue_moon.gif,ジン,バイオレットリキュール,フレッシュレモンジュース,,,,,,,,1/2,1/4,1/4,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/blue_moon/index.html,2018/10/11 15:06
301,301,ja,TRUE,ブロンクス,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,オレンジ,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,ブロンクスは、マンハッタン、ブルックリンなどと共にニューヨークを形成する地区のひとつ。アメリカの禁酒法時代に密造された粗悪なジンを飲むために考えられたカクテルだという。マティーニにオレンジジュースを加えたようなレシピ。オレンジジュースの風味がさわやか。,https://www.suntory.co.jp/wnb/img/cocktail/p_bronx.gif,ジン,ドライベルモット,スイートベルモット,オレンジジュース,,,,,,,1/2,1/6,1/6,1/6,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/bronx/index.html,2018/10/11 15:06
311,311,ja,TRUE,プリンセスメアリー,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,甘口,ブラウン(琥珀色）,普通,シェーク,シェークして、カクテル・グラスに注ぐ。,1922年に行われたメアリー王女の結婚式の記念として、ロンドンにある「シローズクラブ」のハリー・マッケルホーン氏が考案したカクテル。ブランデーベースの「アレキサンダー」のバリエーションカクテル。クレームドカカオと生クリームで、クリーミーな甘口の味わいに仕上がっている。食後のデザートがわりにおすすめのカクテル。,https://www.suntory.co.jp/wnb/img/cocktail/p_princess_mary.gif,ジン,カカオリキュール,生クリーム,,,,,,,,1/2,1/4,1/4,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/princess_mary/index.html,2018/10/11 15:06
321,321,ja,TRUE,ミリオンダラー,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,甘口,ピンク,普通,シェーク,十分にシェークし、グラスに注ぐ。パイナップルを飾る。,100万ドルのカクテルという名前を持つこのカクテルは、我が国では、大正時代から特に人気のあったもの。横浜グランド・ホテル、ルイス・エッピンガー氏作。日本生まれで、世界的に有名になった。当時は、オールド・トム・ジンが使われていたが、近年、ドライ・ジン使用に変ってきている,https://www.suntory.co.jp/wnb/img/cocktail/p_million_dollar.gif,ジン,スイートベルモット,パイナップルジュース,グレナデンシロップ,卵白,,,,,,45ml,15ml,15ml,1tsp,1個分,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/million_dollar/index.html,2018/10/11 15:06
331,331,ja,TRUE,ルシアン,Alcohol,TRUE,カクテル,ジン,,,ショート,カクテルグラス,中甘辛口,ブラウン(琥珀色）,強い（25度以上）,シェーク,シェークして、カクテル・グラスに注ぐ。,ウォッカとジンをカカオの甘さで優しく包んだ、口当たりのよさ抜群のカクテルである。飲み口のよさにだまされて、何杯も飲むとたちまちダウンしてしまうので、レディーキラーのカクテルとしても有名。ちなみに、スタンダードなつくり方による「ルシアン」に生クリームを加えたカクテルを、「ルシアン・ベア」と呼ぶことがある。,https://www.suntory.co.jp/wnb/img/cocktail/p_russian.gif,ウォッカ,ジン,カカオリキュール,,,,,,,,1/3,1/3,1/3,,,,,,,,SUNTORYカクテルレシピ検索,https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/russian/index.html,2018/10/11 15:06
