id,drink_id,language,description,recipe,color,location,company
31,11,0,ジンとベルモットの定番の組み合わせにチェリーリキュールを加えると、ほんのりと甘いロマンティックなカクテルに変身。3つのお酒が絶妙にマッチした大人のカクテル。デートの最後はこれできめたい。,シェークして、カクテル・グラスに注ぐ。,赤,,
32,11,1,Healing cherry,Shake and pour into a cocktail glass.,Red,,
33,11,2,愈合樱桃,摇匀，倒入鸡尾酒杯。,红,,
34,12,0,グラスの底に、真珠のように美しい光沢をみせるパール・オニオンが沈む優雅なカクテル。19世紀末、人気イラストレーターのチャールズ・ダナ・ギブソンが、NYのプレイヤーズ・クラブで愛飲したことからこの名がついたといわれている。当時のレシピは、プリマス・ジン1/2、ドライ・ベルモット1/2をステアし、パールオニオンを飾るというものであった。デコレーション以外は「マティーニ」と同じレシピだが、やや辛口に仕上げる傾向にある。,ステアして、カクテル・グラスに注ぐ。カクテルピンにさしたパールオニオンをグラスに沈める。,透明,,
35,12,1,gin,Steer and pour into a cocktail glass. Submerge the cocktail pinned pearl onion in a glass.,Transparent,,
36,12,2,杜松子酒,转向并倒入鸡尾酒杯。将鸡尾酒钉珍珠洋葱浸入玻璃杯中。,透明,,
37,13,0,アメリカのホームユーザーに人気のあるイエーガーマイスターを使ったカクテル。,シェークして、カクテル・グラスに注ぐ。,ブラウン(琥珀色）,,
38,13,1,gin,Shake and pour into a cocktail glass.,Brown (amber),,
39,13,2,杜松子酒,摇匀，倒入鸡尾酒杯。,棕色（琥珀色）,,
40,14,0,,ステアして、カクテル・グラスに注ぐ。,透明,,
41,14,1,gin,Steer and pour into a cocktail glass.,Transparent,,
42,14,2,杜松子酒,转向并倒入鸡尾酒杯。,透明,,
43,15,0,別名「ロンドン・バック」ともいう。“バック”とは、スピリッツにレモン ジュースとジンジャー・エールを加えて作るスタイルのことで、“Buck”には“Stag”（雄鹿）の意味があり、“キックのある飲み物”ということから名づけられたと思われる。甘味と酸味のバランスが良い、夏向きのカクテル。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,透明,,
44,15,1,gin,Pour into the tumbler with ice and gently stir. Decorate lime or lemon.,Transparent,,
45,15,2,杜松子酒,用冰倒入滚筒，轻轻搅拌。装饰石灰或柠檬。,透明,,
46,16,0,ジンにソーダを加えた爽やかなカクテル。1888年、アメリカ南部ニューオリンズの人気サロン「インペリアル・キャビネット・サロン」のオーナー、ヘンリー・ラモス氏がレモン・スカッシュにジンを入れたのが始まりだといわれている。“フィズ”はジンなどのスピリッツにレモンジュース、砂糖を加えてシェークし、タンブラーに注いでソーダを加えるのが基本的な処方。“フィズ”という名前は、ソーダの炭酸ガスがはじける“シュッ！”という音からつけられたといわれている。,ソーダ以外の材料をシェークし、タンブラーに注ぐ。氷を加え、ソーダで満たし、軽くステアする。,透明,,
47,16,1,gin,"Shake materials other than soda and pour into a tumbler. Add ice, fill with soda and lightly steer.",Transparent,,
48,16,2,杜松子酒,摇动苏打水以外的材料，倒入滚筒中。加入冰块，加入苏打水，然后轻轻转向。,透明,,
49,17,0,「トニックはちょっと甘くて…」という方にお勧めのカクテル。生のライムを絞ることで、さっぱりとした風味が生み出されている。“リッキー”とは、スピリッツにライムの果肉とソーダを加えてつくるカクテルのスタイルのことで、飲み手が、マドラーで好みの味加減にライムをつぶして楽しむ。19世紀末に、アメリカのワシントンD.C.の“シューメーカー”というレストランで夏向きのドリンクとして考案され、最初に飲んだ客のジム・リッキー氏にちなんで命名された。,グラスの上でライムを絞り、グラスの中に落とす。氷とビーフィーター　ジンを入れ、ソーダで満たす。マドラーを添える。,透明,,
50,17,1,gin,Squeeze the lime on the glass and drop it into the glass. Put ice and beefiter gin and fill with soda. Add a muddler.,Transparent,,
51,17,2,杜松子酒,挤压玻璃上的石灰，然后将其放入玻璃杯中。放入冰和加油杜松子酒，加入苏打水。添加一个混乱。,透明,,
52,18,0,"1999 Suntory Cocktail Competiton 1999カクテル・オブ・ザ・イヤー
三谷裕氏の作品",オレンジジュース以外の材料をシェークして、カクテル・グラスに注ぐ。オレンジジュースを沈め、カクテル・ピンにさしたグリーン・チェリーを飾る。,ピンク,,
53,18,1,gin,Shake the ingredients other than orange juice and pour into a cocktail glass. Submerge orange juice and decorate green cherries on cocktail pins.,pink,,
54,18,2,杜松子酒,摇动橙汁以外的成分，倒入鸡尾酒杯。淹没橙汁，并在鸡尾酒针上装饰绿色樱桃。,粉红色,,
55,19,0,ロンドン、シローズ・クラブ出身のバーテンダー、ハリー・マッケルホーンが、パリで有名人が集うハリーズ・ニューヨーク・バーをオープンしたあとに発表したもの。タンゴという名のとおり、情熱的で甘美なカクテル。ドライジンと、ドライとスイートのベルモット、この3つが絶妙なハーモニーを奏で、それをオレンジの甘い風味が包み込む。カップルで楽しんでほしいカクテル。,シェークして、カクテル・グラスに注ぐ。,オレンジ,,
56,19,1,gin,Shake and pour into a cocktail glass.,Orange,,
57,19,2,杜松子酒,摇匀，倒入鸡尾酒杯。,橙,,
58,20,0,,シェークして、氷を入れたロック・グラスに注ぎ、軽くかき混ぜる。ライムを軽く搾り加える。,ブラウン(琥珀色）,,
59,20,1,gin,"Shake, pour into ice cubed rock and stir, lightly stir. Squeeze the lime lightly.",Brown (amber),,
60,20,2,杜松子酒,摇匀，倒入冰块岩石中搅拌，轻轻搅拌。轻轻挤压石灰。,棕色（琥珀色）,,
61,21,0,,モーツァルト、ヒーリングとレモンスライス以外の材料をグラスに注ぎ混ぜる。レモンスライスを浮かべ上から静かに、モーツァルトとヒーリングを注ぐ。,ブラウン(琥珀色）,,
62,21,1,gin,"Mozart, pour the ingredients other than healing and lemon slices into the glass and mix. Float lemon slices and quietly pour Mozart and healing.",Brown (amber),,
63,21,2,杜松子酒,莫扎特，将除了愈合和柠檬片之外的成分倒入玻璃杯中并混合。漂浮柠檬片，静静地倒入莫扎特和治疗。,棕色（琥珀色）,,
64,22,0,ジンをベースにしたカクテルの中で、最もポピュラーなのがこのジントニック。プレミアムジン「ビーフィーター２４」を使用したこの２４トニックは、柔らかい飲み口。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムまたはレモンを飾る。,透明,,
65,22,1,Beefeater 24,Pour into the tumbler with ice and gently stir. Decorate lime or lemon.,Transparent,,
66,22,2,Beefeater 24,用冰倒入滚筒，轻轻搅拌。装饰石灰或柠檬。,透明,,
67,23,0,,ステアして、カクテル・グラスに注ぐ。レモンピールを飾る。,透明,,
68,23,1,Beefeater 24,Steer and pour into a cocktail glass. Decorate lemon peel.,Transparent,,
69,23,2,Beefeater 24,转向并倒入鸡尾酒杯。装饰柠檬皮。,透明,,
70,24,0,19世紀半ば、ロンドンのハノーバー街、コンデュイット通りにあった”リマーズ・コーナー”という店のボーイ長、ジョン・コリンズが創作したカクテル。はじめは自分の名前をとって「ジョン・コリンズ」としていたが、ベースをジュネバ・ジンからオールド・トム・ジンにかえ、「トム・コリンズ」と命名した。アメリカで生まれた「ジン・フィズ」は、材料も作り方もほぼ同じ、分量だけが違う兄弟のようなカクテルである。,ソーダ以外の材料をシェークし、氷を入れたコリンズ・グラスに注ぐ。ソーダで満たし、軽くステアする。レモン、レッド・チェリーを飾る。,透明,,
71,24,1,gin,"Shake materials other than soda and pour into Collins / Glass with ice. Fill it with soda and lightly steer. Lemon, decorate red cherry.",Transparent,,
72,24,2,杜松子酒,摇动除苏打水以外的材料，然后倒入带有冰的柯林斯/玻璃杯中。用苏打水填充并轻轻转向。柠檬，装饰红樱桃。,透明,,
73,25,0,“パラダイス（楽園）”と呼ばれるにふさわしい、やや甘口のカクテル。アプリコットとオレンジジュースの相性がよく、香りも味も新しいフルーツのように新鮮。辛口が好きな人はドライジンをやや多めにして、アプリコットリキュールの量を抑えてもよい。,シェークして、カクテル・グラスに注ぐ。,オレンジ,,
74,25,1,gin,Shake and pour into a cocktail glass.,Orange,,
75,25,2,杜松子酒,摇匀，倒入鸡尾酒杯。,橙,,
76,26,0,ジンにドライベルモットとクレームドカシスの甘い風味を加えた、やや甘口の食前向きのカクテル。カクテルの帝王「マティーニ」のバリエーションともいえる。おしゃれなパリジャンを想わせる、甘酸っぱい味わい。,ステアして、カクテル・グラスに注ぐ。,赤,,
77,26,1,gin,Steer and pour into a cocktail glass.,Red,,
78,26,2,杜松子酒,转向并倒入鸡尾酒杯。,红,,
79,27,0,1912年にロンドンで生まれたカクテル。この年に、ロンドンで大ヒットした舞台『ピンク・レディ』を記念してつくられた。千秋楽の打ち上げパーティーで、主演女優のヘイルズ・ドーンに捧げられたという。名前の通りピンク色の美しいカクテルで、グレナデンシロップの甘い風味が、ジンの個性的な風味をやさしく包んでいる。グレナデンシロップをブルーキュラソーにかえると「ブルー・レディ」、卵白を除きホワイトキュラソーを加えると「ホワイト・レディ」になる。,十分にシェークし、カクテル・グラスに注ぐ。,ピンク,,
80,27,1,gin,Shake thoroughly and pour into a cocktail glass.,pink,,
81,27,2,杜松子酒,彻底摇匀，倒入鸡尾酒杯。,粉红色,,
82,28,0,第一次大戦の時、パリのアンリ・バーで生まれた。名前はいかにもお洒落っぽいが、実は口径が75mmの大砲のことである。ドライジンをバーボンウイスキーに替えると、FRENCH 95、ブランデーにすると、FRENCH 125となる。,シャンパン以外の材料をシェークして、コリンズ・グラスに注ぐ。氷を加え、冷やしたシャンパンで満たし、軽くステアする。,白,,
83,28,1,gin,"Shake materials other than champagne and pour into Collins / Glass. Add ice, fill with cold champagne and lightly steer.",White,,
84,28,2,杜松子酒,摇动香槟以外的材料，倒入柯林斯/玻璃杯。加冰，加入冷香槟，然后轻轻转向。,白,,
85,29,0,作者も生まれ年も不明だが、1929年（昭和4年）出版のカクテルブックにもレシピが載っているところをみると、それより以前に誕生した歴史あるカクテル。「ブルームーン」といえば、ロジャース＆ハートのゴールデンコンビの名曲としても有名。仕上げにレモンピールを月形に切って浮かべると、さらに夢のあるカクテルに。,シェークして、カクテル・グラスに注ぐ。,紫,,
86,29,1,gin,Shake and pour into a cocktail glass.,purple,,
87,29,2,杜松子酒,摇匀，倒入鸡尾酒杯。,紫色,,
88,30,0,ブロンクスは、マンハッタン、ブルックリンなどと共にニューヨークを形成する地区のひとつ。アメリカの禁酒法時代に密造された粗悪なジンを飲むために考えられたカクテルだという。マティーニにオレンジジュースを加えたようなレシピ。オレンジジュースの風味がさわやか。,シェークして、カクテル・グラスに注ぐ。,オレンジ,,
89,30,1,gin,Shake and pour into a cocktail glass.,Orange,,
90,30,2,杜松子酒,摇匀，倒入鸡尾酒杯。,橙,,
91,31,0,1922年に行われたメアリー王女の結婚式の記念として、ロンドンにある「シローズクラブ」のハリー・マッケルホーン氏が考案したカクテル。ブランデーベースの「アレキサンダー」のバリエーションカクテル。クレームドカカオと生クリームで、クリーミーな甘口の味わいに仕上がっている。食後のデザートがわりにおすすめのカクテル。,シェークして、カクテル・グラスに注ぐ。,ブラウン(琥珀色）,,
92,31,1,gin,Shake and pour into a cocktail glass.,Brown (amber),,
93,31,2,杜松子酒,摇匀，倒入鸡尾酒杯。,棕色（琥珀色）,,
94,32,0,100万ドルのカクテルという名前を持つこのカクテルは、我が国では、大正時代から特に人気のあったもの。横浜グランド・ホテル、ルイス・エッピンガー氏作。日本生まれで、世界的に有名になった。当時は、オールド・トム・ジンが使われていたが、近年、ドライ・ジン使用に変ってきている,十分にシェークし、グラスに注ぐ。パイナップルを飾る。,ピンク,,
95,32,1,gin,Shake thoroughly and pour into the glass. Decorate pineapple.,pink,,
96,32,2,杜松子酒,彻底摇匀，倒入玻璃杯中。装饰菠萝。,粉红色,,
97,33,0,ウォッカとジンをカカオの甘さで優しく包んだ、口当たりのよさ抜群のカクテルである。飲み口のよさにだまされて、何杯も飲むとたちまちダウンしてしまうので、レディーキラーのカクテルとしても有名。ちなみに、スタンダードなつくり方による「ルシアン」に生クリームを加えたカクテルを、「ルシアン・ベア」と呼ぶことがある。,シェークして、カクテル・グラスに注ぐ。,ブラウン(琥珀色）,,
98,33,1,vodka,Shake and pour into a cocktail glass.,Brown (amber),,
99,33,2,伏特加酒,摇匀，倒入鸡尾酒杯。,棕色（琥珀色）,,
100,34,0,1980年代初頭、アメリカ・ニューヨーク州ロングアイランドで生まれたカクテル。紅茶を一滴も使わないで、アイスティーの味わいと色を出した魔法のカクテル。ケーキに紅茶という組み合わせもいいけれど、アイスティー風味のカクテルとの相性も試してみたい。アルコール度の高いカクテルなので、レモンジュースやコーラの甘味にだまされないように注意！,クラッシュドアイスを詰めたコリンズ・グラスに注ぎ、軽くかき混ぜる。レモンとレッド・チェリーを飾る。,ブラウン(琥珀色）,,
101,34,1,gin,Pour into a Collins glass filled with crushed ice and mix gently. Decorate lemon and red cherry.,Brown (amber),,
102,34,2,杜松子酒,倒入装满碎冰的柯林斯玻璃杯中轻轻搅拌。装饰柠檬和红樱桃。,棕色（琥珀色）,,
103,35,0,"2017 Suntoy The Cocktail Award 「カクテルアワード2017」井上新平氏の作品。
妖艶に煌く満月の夜、一羽の鳥が月光を身に纏い、黄金の翼を広げ空を舞う。Aile d'ore（金の翼）　輝く未来へ。",オランジーナ フレンチスパークリング以外をシェークして、氷を入れたグラスに注ぐ。オランジーナ フレンチスパークリングで満たし、イエロー・チェリー、オレンジの皮、金粉、銀粉を飾る。実演の様子を動画で観る,オレンジ,,
104,35,1,Peach liqueur,"Shake the other than Orangina French sparkling and pour into ice glass. Filled with Orangina French sparkling, decorate yellow cherry, orange peel, gold powder, silver powder. Watch a video of the demonstration",Orange,,
105,35,2,桃利口酒,摇晃着Orangina法国人以外的其他法国人，然后倒入冰杯中。充满了Orangina法国波光粼粼，装饰黄色樱桃，橘皮，金粉，银粉。观看演示视频,橙,,
106,36,0,"2007 Suntoy The Cocktail Award 「カクテルアワード2007」笹沢崇之氏の作品。
軽くて飲みやすいものではなく、永遠のクラシックカクテル「マティーニ」から派生するカクテル、飲み継がれていく味わいをつくろうと考えました。",シェークして、カクテル･グラスに注ぐ。ベルローズとパイナップルの葉をグラスの縁に飾る。,ピンク,,
107,36,1,gin,Shake and pour into a cocktail glass. Decorate the leaves of the bellows and pineapple on the edge of the glass.,pink,,
108,36,2,杜松子酒,摇匀，倒入鸡尾酒杯。在玻璃边缘装饰波纹管和菠萝的叶子。,粉红色,,
109,37,0,「ソルティ・ドッグ」とは、イギリス海員達のスラングで“甲板員”のこと。潮風や波浪を浴びながら甲板上で仕事をすることから“塩辛い野郎”と呼ばれるようになった。このイギリス生まれのカクテルの原型は現在のレシピとずいぶん違っている。ベースはジン、これにグレープフルーツジュースを加え、塩をひとつまみ加えてシェークし、カクテルグラスに注ぐというものだった。現在のスタイルになったのはアメリカに渡ってからのこと。カジュアルなスタイルはあっという間に世界に広がり、いまも人気を博している。,塩でスノースタイルにしたタンブラーに氷を入れ、材料を注ぎ、軽くかき混ぜる。,オレンジ,,
110,37,1,vodka,"Pour the ice into a tumbler that you snow style with salt, pour the ingredients and gently stir.",Orange,,
111,37,2,伏特加酒,将冰倒入一个用盐雪花的滚筒中，倒入配料并轻轻搅拌。,橙,,
112,38,0,「モスコミュール」は、1946年、ハリウッドのサンセット大通りに面した“コックンプル”というレストランで生まれた。その口当たりの強さから、“モスクワのラバ（強情者）”という名前がつけられたカクテル。ウォッカベースのカクテルの中で最も有名なカクテルのひとつ。,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。ライムを飾る,透明,,
113,38,1,vodka,Pour into the tumbler with ice and gently stir. Decorate lime,Transparent,,
114,38,2,伏特加酒,用冰倒入滚筒，轻轻搅拌。装饰石灰,透明,,
115,39,0,,氷を入れたタンブラーに注ぎ､軽くかき混ぜる。レモンを飾る。,透明,,
116,39,1,vodka,Pour into the tumbler with ice and gently stir. Decorate lemon.,Transparent,,
117,39,2,伏特加酒,用冰倒入滚筒，轻轻搅拌。装饰柠檬。,透明,,
118,40,0,「カクテルの王様」と呼ばれる「マティーニ」のベースをウォッカにかえたもの。クセのないウォッカで作ると、よりスムースな味わいとキレを生み出している。「マティーニ」は甘口から辛口へとレシピをかえながら時代を生きてきたカクテルである。ウォッカベースの淡白な味わいが、新しいマティーニの歴史を築いている。,ステアして、カクテル・グラスに注ぐ。オリーブを飾る。,透明,,
119,40,1,vodka,Steer and pour into a cocktail glass. Decorate olives.,Transparent,,
120,40,2,伏特加酒,转向并倒入鸡尾酒杯。装饰橄榄。,透明,,
121,41,0,ライムの香りと酸味がさわやかなカクテル。“リッキー”とは、スピリッツにライムの果肉とソーダを加えてつくるカクテルのスタイルのことで、飲み手が、マドラーで好みの味加減にライムをつぶして楽しむ。19世紀末に、アメリカのワシントンD.C.の“シューメーカー”というレストランで夏向きのドリンクとして考案され、最初に飲んだ客のジム・リッキー氏にちなんで命名された。すっきりとした後味が楽しめるカクテルである。,グラスの上でライムを絞り、グラスの中に落とす。氷とウォッカを入れ、ソーダで満たす。マドラーを添える。,透明,,
122,41,1,vodka,Squeeze the lime on the glass and drop it into the glass. Put ice and vodka and fill with soda. Add a muddler.,Transparent,,
123,41,2,伏特加酒,挤压玻璃上的石灰，然后将其放入玻璃杯中。放入冰和伏特加，加入苏打水。添加一个混乱。,透明,,
124,42,0,"1994 Suntory Cocktail Competiton スピリッツ部門 優勝
大塚 陽人氏の作品",シェークして、カクテル・グラスに注ぐ。,赤,,
125,42,1,vodka,Shake and pour into a cocktail glass.,Red,,
126,42,2,伏特加酒,摇匀，倒入鸡尾酒杯。,红,,
127,43,0,ブラジルの「カイピリーニャ」のウオッカバージョン。名前はウオッカの故郷ロシアに由来する。「カイピリーニャ」とはポルトガル語で“田舎の娘さん”という意味。ウオッカがクラッシュドアイスでキンキンに冷えて、刻んだライムの味わいがとても爽やか。,クラッシュド・アイスを入れたグラスに注ぐ。マドラーを添える。,透明,,
128,43,1,vodka,Pour into a glass with crushed ice cream. Add a muddler.,Transparent,,
129,43,2,伏特加酒,倒入碎冰淇淋的玻璃杯中。添加一个混乱。,透明,,
130,44,0,「カミカゼ」とは、第2次世界大戦時に日本の戦闘機につけられた名前。名前は日本名だが、アメリカで生まれたカクテル。ホワイトキュラソーの苦みばしった味が印象的。カミカゼのように鋭い口当たりが名前の由来だろうか？第1次世界大戦後から少しずつ兵器名のついたカクテルがカクテルブックにのるようになった。「フレンチ75」、「B－52」など。カクテルはいろいろな国の飲み物がひとつになって新しい味わいを作り出す。平和の時代の飲み物。,シェークして、氷を入れたロック・グラスに注ぐ。,白,,
131,44,1,vodka,Shake and pour into the rock glass with ice.,White,,
132,44,2,伏特加酒,用冰块摇动并倒入岩石玻璃杯中。,白,,
133,45,0,情熱的な名前のこのカクテルは、1955年の第5回オール・ジャパン・ドリンクス・コンクールで第1位になった作品である。作者は東京のバーテンダーだった石岡賢司氏。ルイ・アームストロングが歌ってヒットした、同名の曲に刺激を受けて生まれたという。本来の、そして多くのカクテル・ブックに採用されているレシピでは3つの酒の割合を同量ずつとしている,シェークして、砂糖でスノースタイルにしたカクテル・グラスに注ぐ。,赤,,
134,45,1,vodka,Shake and pour into a cocktail glass that was made into a snow style with sugar.,Red,,
135,45,2,伏特加酒,摇晃并倒入鸡尾酒杯，用糖制成雪花。,红,,
136,46,0,,シェークして、カクテル・グラスに注ぐ。,赤,,
137,46,1,vodka,Shake and pour into a cocktail glass.,Red,,
138,46,2,伏特加酒,摇匀，倒入鸡尾酒杯。,红,,
139,47,0,ゴッドファーザーのバリエーションとして生まれた。スコッチ・ウイスキー・ベースのゴッドファーザーより、アマレットの優しい甘味が生きている。,氷を入れたロック・グラスに注ぎ、軽くかき混ぜる。,ブラウン(琥珀色）,,
140,47,1,Amaret,Pour into the rock glass with ice and gently stir.,Brown (amber),,
141,47,2,阿玛丽托,用冰倒入岩石玻璃杯中，轻轻搅拌。,棕色（琥珀色）,,
142,48,0,"タンブラーをはじめトールグラスでサービスされる場合もあるが、基本はロック・タイプ。１９７０年代から８０年前後にアメリカ西海岸でブームとなった「カミカゼ」をはじめとするシェーク・ロック（材料をシェークして氷を入れたロックグラスに注ぐ）の流れの中から生まれたカクテル。
日本には８０年代に紹介され、グレープフルーツとクランベリーがミックスされた爽やかですっきりとした酸味が海からのそよ風を感じさせ、とくに女性たちの間で人気となった。",材料をシェークして、氷を入れたロックグラスに注ぐ。,ピンク,,
143,48,1,vodka,Shake the ingredients and pour into the rock glass with ice.,pink,,
144,48,2,伏特加酒,摇匀成分，倒入冰块的岩石玻璃杯中。,粉红色,,
145,49,0,「スクリュー・ドライバー」とは“ネジ回し（ドライバー）”のこと。イランの油田（テキサスという説もある）の労働者たちが、ウオッカとオレンジジュースをネジ回しで混ぜて飲んだことから、この名前がついたという。クセのないウオッカとオレンジジュースの組み合わせなのでとても口当たりがよい。アルコール度数は高めなので、飲みすぎには注意！,氷を入れたタンブラーに注ぎ、軽くかき混ぜる。,オレンジ,,
146,49,1,vodka,Pour into the tumbler with ice and gently stir.,Orange,,
147,49,2,伏特加酒,用冰倒入滚筒，轻轻搅拌。,橙,,
148,50,0,トロピカルカクテルの定番。「チチ」の語源は、フランス語の“シシ”で、女性用ブラウスの胸元にあるフリルのこと。その後“かっこいい”、“粋な”を表す俗語となり、アメリカでもつかわれるようになった。パイナップルジュースとココナッツミルクをたっぷりと使うため、ミルキーで口当たりがよい。ベースのウオッカをラムに代えると「ピニャ・コラーダ」、ウオッカを抜くと「バージン・チチ」になる。,十分にシェークし、クラッシュド・アイスを詰めたグラスに注ぐ。パイナップル、レッド・チェリーを飾り、ストローを添える。,白,,
149,50,1,vodka,"Shake thoroughly and pour into crushed ice-filled glasses. Pineapple, decorate red cherries, accompany straw.",White,,
150,50,2,伏特加酒,彻底摇匀，倒入装满冰块的碎玻璃杯中。菠萝，装饰红樱桃，伴随稻草。,白,,
