"drink_id","language","priority","drink_name","alcoholic","cocktail_or_not","category","base","place","company","cocktailType","glass","taste","color","alcohol_percentage","method_category","method_detail","image","ingredient1","ingredient2","ingredient3","ingredient4","ingredient5","ingredient6","ingredient7","ingredient8","ingredient9","ingredient10","measure1","measure2","measure3","measure4","measure5","measure6","measure7","measure8","measure9","measure10","source","reference_url","date_modified"
"191","en","true","Tango","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Orange","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_tango.gif","gin","Dry vermouth","Suite Vermouth","Orange Curacao","Orange juice","","","","","","2/5","1/5","1/5","1/5","2 dash","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/tango/index.html","2018/10/11 15:06"
"201","en","true","Chocolate Gimlet","Alcohol","1","Cocktail","gin","","","short","Rock glass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","shake","Shake, pour into ice cubed rock and stir, lightly stir. Squeeze the lime lightly.","https://www.suntory.co.jp/wnb/img/cocktail/p_chocolate_gimlet.gif","gin","Mozart Black","Suntory Cocktail Lime","","","","","","","","40 ml","15 ml","15 ml","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chocolate_gimlet/index.html","2018/10/11 15:06"
"211","en","true","Chocolate sling","Alcohol","1","Cocktail","gin","","","long","Collins grass","Medium sweet mouth","Brown (amber)","usually","Build","Mozart, pour the ingredients other than healing and lemon slices into the glass and mix. Float lemon slices and quietly pour Mozart and healing.","https://www.suntory.co.jp/wnb/img/cocktail/p_chocolate_sling.gif","gin","Mozart Black","Healing cherry","Fresh lemon juice","gum syrup","soda","Lemon slice","","","","40 ml","10 ml","5 ml","20 ml","10 ml","Reasonable amount","1 sheet","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chocolate_sling/index.html","2018/10/11 15:06"
"221","en","true","24 tonic","Alcohol","1","Cocktail","gin","","","long","Collins grass","spicy","Transparent","usually","Build","Pour into the tumbler with ice and gently stir. Decorate lime or lemon.","https://www.suntory.co.jp/wnb/img/cocktail/p_24_tonic.gif","Beefeater 24","Tonic Water","","","","","","","","","30 ml","90 ml","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/24_tonic/index.html","2018/10/11 15:06"
"231","en","true","24 Martini","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","spicy","Transparent","Strong (more than 25 degrees)","Steer","Steer and pour into a cocktail glass. Decorate lemon peel.","https://www.suntory.co.jp/wnb/img/cocktail/p_24_martini.gif","Beefeater 24","Dry vermouth","","","","","","","","","50 ml","10 ml","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/24_martini/index.html","2018/10/11 15:06"
"241","en","true","Tom Collins","Alcohol","1","Cocktail","gin","","","long","Collins grass","Medium sweet mouth","Transparent","usually","shake","Shake materials other than soda and pour into Collins / Glass with ice. Fill it with soda and lightly steer. Lemon, decorate red cherry.","https://www.suntory.co.jp/wnb/img/cocktail/p_tom_collins.gif","gin","Fresh lemon juice","sugar","soda","","","","","","","60 ml","20 ml","2tsp","Reasonable amount","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/tom_collins/index.html","2018/10/11 15:06"
"251","en","true","Paradise","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Orange","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_paradise.gif","gin","Ruge Cream apricot","Orange juice","","","","","","","","1/2","1/4","1/4","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/paradise/index.html","2018/10/11 15:06"
"261","en","true","Parisian","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Sweet mouth","Red","usually","Steer","Steer and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_parisian.gif","gin","Dry vermouth","Ruge Cream de Cassis","","","","","","","","1/2","1/3","1/6","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/parisian/index.html","2018/10/11 15:06"
"271","en","true","Pink Lady","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","pink","usually","shake","Shake thoroughly and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_pink_lady.gif","gin","Grenadin syrup","Egg white","","","","","","","","45 ml","20 ml","1 piece","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/pink_lady/index.html","2018/10/11 15:06"
"281","en","true","French 75","Alcohol","1","Cocktail","gin","","","long","Collins grass","Medium sweet mouth","White","usually","shake","Shake materials other than champagne and pour into Collins / Glass. Add ice, fill with cold champagne and lightly steer.","https://www.suntory.co.jp/wnb/img/cocktail/p_french_75.gif","gin","Fresh lemon juice","sugar","Champagne","","","","","","","45 ml","20 ml","1 tsp","Reasonable amount","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/french_75/index.html","2018/10/11 15:06"
"291","en","true","blue Moon","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","purple","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_blue_moon.gif","gin","Violet liqueur","Fresh lemon juice","","","","","","","","1/2","1/4","1/4","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/blue_moon/index.html","2018/10/11 15:06"
"301","en","true","Bronx","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Orange","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_bronx.gif","gin","Dry vermouth","Suite Vermouth","Orange juice","","","","","","","1/2","1/6","1/6","1/6","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/bronx/index.html","2018/10/11 15:06"
"311","en","true","Princess Mary","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Sweet mouth","Brown (amber)","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_princess_mary.gif","gin","Cacao Liqueur","Fresh cream","","","","","","","","1/2","1/4","1/4","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/princess_mary/index.html","2018/10/11 15:06"
"321","en","true","Million dollar","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Sweet mouth","pink","usually","shake","Shake thoroughly and pour into the glass. Decorate pineapple.","https://www.suntory.co.jp/wnb/img/cocktail/p_million_dollar.gif","gin","Suite Vermouth","Pineapple juice","Grenadin syrup","Egg white","","","","","","45 ml","15 ml","15 ml","1 tsp","1 piece","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/million_dollar/index.html","2018/10/11 15:06"
"331","en","true","Lucian","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_russian.gif","vodka","gin","Cacao Liqueur","","","","","","","","1/3","1/3","1/3","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/russian/index.html","2018/10/11 15:06"
"341","en","true","Long Island Ice Tea","Alcohol","1","Cocktail","gin","","","long","Collins grass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","Build","Pour into a Collins glass filled with crushed ice and mix gently. Decorate lemon and red cherry.","https://www.suntory.co.jp/wnb/img/cocktail/p_long_island_iced_tea.gif","gin","vodka","Bulgar Extra Dry","Tequila Thousand Silver","White Curacao (Triple Sek)","Fresh lemon juice","Cola","","","","15 ml","15 ml","15 ml","15 ml","15 ml","30 ml","40 ml","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/long_island_iced_tea/index.html","2018/10/11 15:06"
"351","en","true","Eldor","Alcohol","1","Cocktail","gin","","","long","wine glass","Medium sweet mouth","Orange","usually","shake","Shake the other than Orangina French sparkling and pour into ice glass. Filled with Orangina French sparkling, decorate yellow cherry, orange peel, gold powder, silver powder. Watch a video of the demonstration","https://www.suntory.co.jp/wnb/img/cocktail/p_aile_dore.gif","Peach liqueur","Japanese Craft Jin ROKU (六)","Ruge Cream apricot","Fresh lemon juice","Orangina French sparkling","","","","","","20 ml","20 ml","10 ml","10 ml","Reasonable amount","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/aile_dore/index.html","2018/10/11 15:06"
"361","en","true","Celebration","Alcohol","1","Cocktail","gin","","","short","Cocktail glass","Medium sweet mouth","pink","usually","shake","Shake and pour into a cocktail glass. Decorate the leaves of the bellows and pineapple on the edge of the glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_celebriti_ni.gif","gin","X-rated","Disarrono Amaretto","Grapefruit juice","Fresh lime juice","","","","","","30 ml","15 ml","5 ml","10 ml","1 tsp","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/celebriti_ni/index.html","2018/10/11 15:06"
"12","en","true","Salty Dog","Alcohol","1","Cocktail","vodka","","","long","tumbler","Medium sweet mouth","Orange","usually","Build","Pour the ice into a tumbler that you snow style with salt, pour the ingredients and gently stir.","https://www.suntory.co.jp/wnb/img/cocktail/p_salty_dog.gif","vodka","Grapefruit juice","salt","","","","","","","","45 ml","Reasonable amount","Reasonable amount","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/salty_dog/index.html","2018/10/11 15:06"
"22","en","true","Moscowur","Alcohol","1","Cocktail","vodka","","","long","tumbler","Medium sweet mouth","Transparent","usually","Build","Pour into the tumbler with ice and gently stir. Decorate lime","https://www.suntory.co.jp/wnb/img/cocktail/p_moscow_mule.gif","vodka","Fresh lime juice","Ginger ale","","","","","","","","45 ml","15 ml","Reasonable amount","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/moscow_mule/index.html","2018/10/11 15:06"
"32","en","true","Vodka Tonic","Alcohol","1","Cocktail","vodka","","","long","tumbler","Medium sweet mouth","Transparent","usually","Build","Pour into the tumbler with ice and gently stir. Decorate lemon.","https://www.suntory.co.jp/wnb/img/cocktail/p_vodka_tonic.gif","vodka","Tonic Water","","","","","","","","","0.25","0.75","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/vodka_tonic/index.html","2018/10/11 15:06"
"42","en","true","Vodka Martini","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","spicy","Transparent","Strong (more than 25 degrees)","Steer","Steer and pour into a cocktail glass. Decorate olives.","https://www.suntory.co.jp/wnb/img/cocktail/p_vodka_martini.gif","vodka","Dry vermouth","","","","","","","","","4/5","1/5","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/vodka_martini/index.html","2018/10/11 15:06"
"52","en","true","Vodka Rickey","Alcohol","1","Cocktail","vodka","","","long","tumbler","Medium sweet mouth","Transparent","usually","Build","Squeeze the lime on the glass and drop it into the glass. Put ice and vodka and fill with soda. Add a muddler.","https://www.suntory.co.jp/wnb/img/cocktail/p_vodka_rickey.gif","vodka","lime","soda","","","","","","","","45 ml","1/2 piece","Reasonable amount","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/vodka_rickey/index.html","2018/10/11 15:06"
"62","en","true","Aurora","Alcohol","1","Cocktail","vodka","","","short","tumbler","Medium sweet mouth","Red","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_aurora.gif","vodka","Ruge Cream de Cassis","Grapefruit juice","Suntory Cocktail Lemon","Grenadin syrup","","","","","","1/2","1/6","1/12","1/12","1/6","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/aurora/index.html","2018/10/11 15:06"
"72","en","true","Kaipirosca","Alcohol","1","Cocktail","vodka","","","long","Rock glass","Medium sweet mouth","Transparent","Strong (more than 25 degrees)","Build","Pour into a glass with crushed ice cream. Add a muddler.","https://www.suntory.co.jp/wnb/img/cocktail/p_caipirosca.gif","vodka","lime","sugar","","","","","","","","60 ml","1/2 piece","3tsp","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/caipirosca/index.html","2018/10/11 15:06"
"82","en","true","Kamikaze","Alcohol","1","Cocktail","vodka","","","long","Rock glass","Medium sweet mouth","White","Strong (more than 25 degrees)","shake","Shake and pour into the rock glass with ice.","https://www.suntory.co.jp/wnb/img/cocktail/p_kamikaze.gif","vodka","White Curacao (Triple Sek)","Fresh lime juice","","","","","","","","20 ml","20 ml","20 ml","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/kamikaze/index.html","2018/10/11 15:06"
"92","en","true","Kids of Fire","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","Medium sweet mouth","Red","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass that was made into a snow style with sugar.","https://www.suntory.co.jp/wnb/img/cocktail/p_kiss_of_fire.gif","vodka","Srojin","Dry vermouth","Fresh lemon juice","","","","","","","1/3","1/3","1/3","1 tsp","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/kiss_of_fire/index.html","2018/10/11 15:06"
"102","en","true","cosmopolitan","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","Medium sweet mouth","Red","usually","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_cosmopolitan.gif","vodka","White Curacao (Triple Sek)","Cranberry juice","Fresh lime juice","","","","","","","20 ml","10 ml","20 ml","10 ml","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/cosmopolitan/index.html","2018/10/11 15:06"
"112","en","true","God Mother","Alcohol","1","Cocktail","vodka","","","long","Rock glass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","Build","Pour into the rock glass with ice and gently stir.","https://www.suntory.co.jp/wnb/img/cocktail/p_god_mother.gif","Amaret","vodka","","","","","","","","","15 ml","45 ml","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/god_mother/index.html","2018/10/11 15:06"
"122","en","true","Sea Breeze","Alcohol","1","Cocktail","vodka","","","long","Rock glass","Medium sweet mouth","pink","usually","shake","Shake the ingredients and pour into the rock glass with ice.","https://www.suntory.co.jp/wnb/img/cocktail/p_Sea_Breeze.gif","vodka","Grapefruit juice","Cranberry juice","","","","","","","","1/3","1/3","1/3","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/Sea_Breeze/index.html","2018/10/11 15:06"
"132","en","true","screwdriver","Alcohol","1","Cocktail","vodka","","","long","tumbler","Medium sweet mouth","Orange","usually","Build","Pour into the tumbler with ice and gently stir.","http://www.hdrank.com/images/upload/keyword/238/3604/2835.jpg","vodka","Orange juice","","","","","","","","","45 ml","Reasonable amount","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/screw_driver/index.html","2018/10/11 15:06"
"142","en","true","Chiti","Alcohol","1","Cocktail","vodka","","","long","Rock glass","Medium sweet mouth","White","Weak (less than 8 degrees)","shake","Shake thoroughly and pour into crushed ice-filled glasses. Pineapple, decorate red cherries, accompany straw.","https://www.suntory.co.jp/wnb/img/cocktail/p_chi_chi.gif","vodka","Pineapple juice","Coconut milk","","","","","","","","30 ml","80 ml","45 ml","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chi_chi/index.html","2018/10/11 15:06"
"152","en","true","Chocotini","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","Medium sweet mouth","Brown (amber)","Strong (more than 25 degrees)","Steer","Steer and pour into the glass. Sprinkle lemon peel and sprinkle","https://www.suntory.co.jp/wnb/img/cocktail/p_chocolate_martini.gif","vodka","Mozart Black","Lemon peel","","","","","","","","30 ml","30 ml","1 piece","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/chocolate_martini/index.html","2018/10/11 15:06"
"162","en","true","Troika","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","Medium sweet mouth","White","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_troika.gif","vodka","White Curacao (Triple Sek)","Fresh lemon juice","","","","","","","","1/3","1/3","1/3","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/troika/index.html","2018/10/11 15:06"
"172","en","true","Balalaika","Alcohol","1","Cocktail","vodka","","","short","Cocktail glass","Medium sweet mouth","White","Strong (more than 25 degrees)","shake","Shake and pour into a cocktail glass.","https://www.suntory.co.jp/wnb/img/cocktail/p_balalaika.gif","vodka","White Curacao (Triple Sek)","Fresh lemon juice","","","","","","","","1/2","1/4","1/4","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/balalaika/index.html","2018/10/11 15:06"
"182","en","true","Big Apple","Alcohol","1","Cocktail","vodka","","","long","tumbler","Sweet mouth","Orange","usually","Build","Pour into the tumbler with ice and gently stir.","https://www.suntory.co.jp/wnb/img/cocktail/p_big_apple.gif","vodka","Apple juice","","","","","","","","","45 ml","Reasonable amount","","","","","","","","","SUNTORY cocktail recipe search","https://cocktailrecipe.suntory.co.jp/wnb/cocktail/recipe/big_apple/index.html","2018/10/11 15:06"
